fasta_name,predicted_lifestyle,prediction_accuracy,gc,sequence_length
GCA_000887755.1,Virulent,88.31,39.01,164093
GCA_000888755.1,Virulent,86.49,40.03,169947
GCA_000894675.1,Temperate,51.39,37.74,46387
GCA_000898295.2,Virulent,86.85,34.41,166687
GCA_000902615.1,Temperate,90.28,39.05,45364
GCA_000907515.1,Virulent,99.55,39.15,42185
GCA_000915715.1,Virulent,84.50,45.48,43050
GCA_000916495.1,Virulent,100.00,42.19,40739
GCA_000917335.1,Temperate,57.44,37.77,77792
GCA_000925015.1,Virulent,95.35,37.27,99730
GCA_000926095.1,Temperate,70.20,37.60,44844
GCA_000927515.1,Virulent,100.00,41.17,42654
GCA_001470095.1,Virulent,99.56,39.48,41563
GCA_001470235.1,Virulent,99.62,39.09,41526
GCA_001470635.1,Virulent,100.00,39.34,40938
GCA_001500795.2,Virulent,100.00,39.31,41243
GCA_001501195.1,Virulent,99.70,39.29,41805
GCA_001501295.1,Temperate,70.98,37.60,44846
GCA_001743895.1,Temperate,88.99,40.26,40749
GCA_001745115.1,Virulent,99.69,39.47,40570
GCA_001745775.1,Temperate,56.56,37.95,44885
GCA_001755565.1,Virulent,88.41,37.77,104906
GCA_002602985.1,Temperate,61.04,37.50,43665
GCA_002605545.1,Temperate,90.80,39.83,47575
GCA_002605565.1,Temperate,60.52,37.59,44866
GCA_002607545.1,Temperate,88.71,39.35,61304
GCA_002609765.1,Virulent,90.19,30.76,234900
GCA_002615865.1,Virulent,100.00,39.46,40493
GCA_002617965.1,Virulent,100.00,39.31,41402
GCA_002617985.1,Virulent,99.59,39.29,41642
GCA_002620125.1,Temperate,70.77,37.58,45415
GCA_002623465.1,Temperate,58.20,37.63,45888
GCA_002623585.1,Virulent,99.67,39.39,40409
GCA_002625365.1,Temperate,64.29,37.84,45373
GCA_002627085.1,Virulent,99.60,39.14,40879
GCA_002627105.1,Virulent,99.52,39.28,40598
GCA_002627125.1,Virulent,99.62,39.31,41608
GCA_002627145.1,Virulent,99.11,39.20,41208
GCA_002627165.1,Virulent,99.60,39.33,41514
GCA_002630805.1,Temperate,61.77,37.69,45159
GCA_002955315.1,Virulent,99.61,39.38,41730
GCA_002957285.1,Virulent,99.38,39.42,41567
GCA_002957365.1,Virulent,97.69,42.84,40260
GCA_003023935.1,Virulent,99.68,39.23,39964
GCA_003369145.1,Virulent,67.68,36.76,165975
GCA_003606175.1,Virulent,74.40,36.79,166560
GCA_003613355.1,Virulent,82.82,37.19,103628
GCA_003613375.1,Virulent,83.28,37.18,104354
GCA_003613395.1,Virulent,99.66,39.14,42330
GCA_003613915.1,Virulent,81.28,37.21,102789
GCA_003613955.1,Virulent,99.49,39.28,42067
GCA_003718935.1,Temperate,75.53,37.87,45063
GCA_003718955.1,Temperate,60.68,38.30,43557
GCA_003718975.1,Temperate,61.18,37.56,46499
GCA_004015525.1,Virulent,99.57,39.36,40898
GCA_004015585.1,Virulent,68.24,36.35,168223
GCA_004138755.1,Virulent,86.37,34.33,166890
GCA_004325255.1,Virulent,84.70,45.48,43051
GCA_004989725.1,Temperate,86.61,40.17,52031
GCA_005075185.1,Virulent,99.50,39.20,41767
GCA_005734995.1,Virulent,88.24,37.49,101770
GCA_006869785.2,Virulent,66.28,36.71,166487
GCA_008823085.1,Virulent,100.00,39.24,41476
GCA_008823105.1,Virulent,100.00,39.38,41426
GCA_008823125.1,Virulent,99.75,39.38,41668
GCA_008823145.1,Virulent,99.70,39.31,41142
GCA_008823165.1,Virulent,99.56,39.16,41981
GCA_008952165.1,Virulent,100.00,39.24,39963
GCA_009388345.1,Virulent,96.36,39.58,79328
GCA_009388405.1,Virulent,100.00,39.14,40770
GCA_009673285.1,Temperate,59.34,37.87,44590
GCA_009673305.1,Temperate,57.81,37.77,44227
GCA_009673385.1,Virulent,99.61,39.23,41196
GCA_009689525.1,Virulent,99.59,39.12,40540
GCA_009745135.1,Virulent,71.38,36.75,166210
GCA_009745155.1,Virulent,70.30,36.83,164309
GCA_009800865.1,Virulent,68.91,36.71,165927
GCA_009800885.1,Virulent,68.55,36.75,164746
GCA_009861145.1,Virulent,66.66,36.73,167922
GCA_009901725.1,Temperate,53.42,37.69,44820
GCA_009931815.1,Virulent,68.88,36.76,165151
GCA_009931845.1,Virulent,67.15,36.37,166330
GCA_010700875.1,Virulent,99.63,39.26,41105
GCA_012360275.1,Virulent,99.48,39.48,41231
GCA_012360945.1,Virulent,89.54,37.45,103539
GCA_012932195.1,Virulent,99.48,39.07,41461
GCA_012932205.1,Virulent,99.41,39.05,42402
GCA_013086025.1,Virulent,99.57,39.40,41198
GCA_013201275.1,Virulent,99.58,39.34,41847
GCA_013268025.1,Virulent,67.20,36.72,166760
GCA_013343655.1,Virulent,99.01,39.08,41765
GCA_013348055.1,Virulent,70.70,36.78,166559
GCA_014071135.1,Virulent,87.95,37.20,102499
GCA_014071145.1,Virulent,100.00,39.50,40471
GCA_014517455.1,Virulent,66.63,36.72,167683
GCA_014517525.1,Virulent,99.70,39.32,42233
GCA_014656645.1,Temperate,87.70,38.86,50916
GCA_015245205.1,Virulent,99.70,39.24,40535
GCA_015245215.1,Virulent,100.00,39.22,41953
GCA_015245225.1,Virulent,99.52,39.23,40556
